City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bilibino,68.0546,166.4372,9.49,58,100,3.74,RU,1722818776
1,ta`u,-14.2336,-169.5144,26.86,64,100,1.9,AS,1722818777
2,albany,42.6001,-73.9662,24.47,78,0,0.89,US,1722818748
3,port-aux-francais,-49.35,70.2167,1.82,67,10,7.32,TF,1722818779
4,longyearbyen,78.2186,15.6401,8.91,87,40,4.63,SJ,1722818780
5,binjai,3.6001,98.4854,25.97,78,100,0.83,ID,1722818781
6,olonkinbyen,70.9221,-8.7187,5.99,98,100,3.16,SJ,1722818782
7,pacific grove,36.6177,-121.9166,24.56,85,75,4.12,US,1722818784
8,hermanus,-34.4187,19.2345,8.78,67,70,8.16,ZA,1722818787
9,grytviken,-54.2811,-36.5092,-1.39,84,100,4.67,GS,1722818788
10,tiksi,71.6872,128.8694,12.65,63,100,5.26,RU,1722818790
11,waitangi,-43.9535,-176.5597,10.46,73,100,1.79,NZ,1722818791
12,guntakal junction,15.1667,77.3833,23.96,79,96,4.79,IN,1722818792
13,klyuchi,52.2667,79.1667,20.31,65,31,3.12,RU,1722818667
14,edinburgh of the seven seas,-37.0676,-12.3116,13.68,77,51,13.26,SH,1722818795
15,anadyr,64.75,177.4833,6.28,100,100,8.0,RU,1722818796
16,newman,37.3138,-121.0208,37.25,15,2,4.18,US,1722818559
17,whitehorse,60.7161,-135.0538,23.94,29,20,1.03,CA,1722818798
18,kone,-21.0595,164.8658,25.12,40,0,3.77,NC,1722818799
19,marica,-22.9194,-42.8186,24.95,83,0,4.25,BR,1722818801
20,adamstown,-25.066,-130.1015,21.15,79,100,7.69,PN,1722818802
21,dudinka,69.4058,86.1778,10.22,56,0,9.22,RU,1722818804
22,chonchi,-42.6128,-73.8092,7.56,98,100,2.41,CL,1722818775
23,zaozersk,69.4005,32.4476,7.16,93,8,2.37,RU,1722818806
24,pereiro de aguiar,42.3452,-7.8001,16.59,86,0,0.63,ES,1722818807
25,darnah,32.767,22.6367,27.0,63,0,5.24,LY,1722818809
26,bredasdorp,-34.5322,20.0403,6.83,69,18,4.66,ZA,1722818810
27,bethanie,-26.4833,17.15,5.15,90,2,1.93,NA,1722818811
28,ascension,30.2169,-90.9001,32.83,68,36,2.37,US,1722818812
29,badger,64.8,-147.5333,24.43,52,0,2.06,US,1722818814
30,likasi,-10.9814,26.7333,14.75,30,0,1.29,CD,1722818815
31,utrik,11.2278,169.8474,28.54,80,39,6.51,MH,1722818817
32,noormarkku,61.5927,21.8685,14.88,100,0,0.51,FI,1722818818
33,port blair,11.6667,92.75,26.02,94,40,0.0,IN,1722818820
34,ust-nera,64.5667,143.2,16.11,52,43,1.8,RU,1722818821
35,blackmans bay,-43.0167,147.3167,12.51,60,8,0.89,AU,1722818822
36,palu,-0.8917,119.8707,26.46,90,97,0.91,ID,1722818823
37,akureyri,65.6835,-18.0878,11.96,71,75,4.63,IS,1722818824
38,codrington,-38.2667,141.9667,11.3,56,7,2.91,AU,1722818825
39,motupe,-6.1519,-79.7142,18.01,77,53,1.9,PE,1722818826
40,atafu village,-8.5421,-172.5159,27.86,80,100,5.29,TK,1722818828
41,nabire,-3.3667,135.4833,25.96,82,100,1.19,ID,1722818829
42,karratha,-20.7377,116.8463,17.88,57,0,8.25,AU,1722818830
43,eenhana,-17.4667,16.3333,15.63,26,0,3.12,NA,1722818831
44,fortuna,40.5982,-124.1573,15.51,95,100,3.6,US,1722818832
45,margate,51.3813,1.3862,15.17,83,46,4.9,GB,1722818833
